iter	Passed	Remaining
0	1	132
1	2	135
2	4	153
3	5	140
4	7	137
5	8	133
6	9	130
7	10	126
8	12	123
9	13	119
10	14	116
11	15	113
12	16	110
13	17	107
14	18	107
15	20	107
16	22	107
17	23	106
18	25	106
19	26	106
20	27	104
21	28	102
22	30	101
23	31	99
24	32	97
25	33	96
26	35	94
27	36	92
28	37	92
29	39	91
30	40	89
31	42	89
32	43	89
33	45	87
34	46	85
35	47	84
36	48	82
37	49	80
38	50	78
39	51	77
40	52	75
41	53	73
42	54	72
43	56	71
44	57	70
45	58	69
46	60	68
47	62	67
48	63	65
49	64	64
50	65	62
51	66	61
52	67	59
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	78	48
62	79	46
63	80	45
64	81	44
65	84	43
66	86	42
67	87	41
68	88	39
69	90	38
70	91	37
71	92	36
72	94	34
73	95	33
74	96	32
75	99	31
76	101	30
77	102	28
78	103	27
79	104	26
80	106	24
81	107	23
82	109	22
83	110	21
84	112	19
85	114	18
86	116	17
87	117	16
88	119	14
89	120	13
90	122	12
91	124	10
92	126	9
93	129	8
94	131	6
95	133	5
96	135	4
97	136	2
98	138	1
99	140	0
