iter	Passed	Remaining
0	133	132999
1	134	66881
2	134	44839
3	135	33799
4	136	27191
5	137	22779
6	138	19618
7	139	17257
8	140	15417
9	141	13981
10	142	12774
11	142	11767
12	143	10910
13	144	10170
14	145	9536
15	145	8974
16	146	8485
17	147	8048
18	148	7663
19	149	7313
20	150	6996
21	150	6705
22	151	6442
23	152	6212
24	154	6014
25	155	5816
26	156	5631
27	157	5458
28	158	5297
29	159	5147
30	160	5003
31	160	4869
32	162	4750
33	163	4632
34	163	4518
35	164	4407
36	165	4304
37	166	4219
38	167	4132
39	168	4048
40	169	3965
41	170	3885
42	171	3816
43	172	3745
44	173	3678
45	174	3610
46	174	3545
47	175	3484
48	176	3424
49	177	3366
50	178	3313
51	179	3264
52	179	3215
53	181	3172
54	182	3131
55	183	3088
56	184	3046
57	185	3006
58	186	2967
59	186	2928
60	187	2889
61	188	2853
62	189	2817
63	190	2781
64	191	2747
65	191	2715
66	192	2684
67	193	2654
68	194	2624
69	195	2596
70	196	2572
71	197	2545
72	198	2520
73	199	2493
74	200	2468
75	201	2443
76	201	2419
77	202	2395
78	203	2372
79	204	2350
80	205	2327
81	205	2305
82	206	2280
83	207	2258
84	207	2237
85	208	2218
86	209	2199
87	210	2181
88	211	2164
89	212	2148
90	213	2131
91	214	2114
92	215	2097
93	215	2080
94	216	2063
95	217	2048
96	218	2032
97	219	2016
98	219	2000
99	220	1985
100	221	1970
101	222	1957
102	223	1943
103	223	1929
104	224	1916
105	225	1904
106	226	1892
107	227	1881
108	228	1870
109	229	1858
110	230	1846
111	231	1835
112	232	1822
113	232	1810
114	233	1799
115	234	1788
116	235	1777
117	236	1768
118	237	1758
119	238	1747
120	239	1736
121	239	1726
122	241	1721
123	242	1713
124	243	1705
125	244	1695
126	245	1686
127	246	1677
128	247	1668
129	247	1658
130	248	1649
131	249	1641
132	250	1632
133	251	1624
134	252	1616
135	252	1606
136	253	1599
137	254	1590
138	255	1584
139	256	1577
140	257	1570
141	258	1562
142	259	1554
143	260	1547
144	261	1542
145	262	1534
146	263	1527
147	263	1519
148	264	1512
149	265	1505
150	266	1498
151	267	1491
152	268	1484
153	269	1478
154	270	1472
155	271	1467
156	272	1461
157	273	1457
158	274	1451
159	275	1445
160	275	1437
161	276	1432
162	277	1425
163	278	1419
164	279	1413
165	279	1406
166	280	1401
167	281	1395
168	282	1389
169	283	1384
170	284	1378
171	285	1373
172	286	1368
173	296	1409
174	297	1403
175	298	1398
176	299	1392
177	300	1388
178	301	1383
179	302	1380
180	304	1376
181	305	1372
182	306	1369
183	307	1365
184	308	1361
185	309	1356
186	310	1351
187	311	1346
188	312	1341
189	313	1337
190	315	1335
191	316	1332
